stateid,fips,state,year,lnnetuit,lnstapr,lnfte,lnpc_income
9,12,FL,2010,20.914608,22.051338,13.316689,10.558751
9,12,FL,2011,21.165768,22.092827,13.363457,10.59983
9,12,FL,2012,21.295,21.963625,13.37148,10.620742
9,12,FL,2013,21.372374,21.880564,13.336149,10.612188
9,12,FL,2014,21.372351,22.044798,13.318302,10.674221
9,12,FL,2015,21.385756,22.10968,13.30668,10.724412
9,12,FL,2016,21.397734,22.145447,13.302449,10.740909
10,13,GA,1990,19.212315,20.706425,12.005516,9.7889185
10,13,GA,1991,19.301138,20.746298,12.078739,9.8158579
10,13,GA,1992,19.453154,20.700611,12.171326,9.8709641
10,13,GA,1993,19.533854,20.768431,12.199199,9.9078283
10,13,GA,1994,19.614603,20.887762,12.218945,9.9565544
10,13,GA,1995,19.663681,21.000366,12.246034,10.009423
10,13,GA,1996,19.726849,21.087353,12.267953,10.063691
10,13,GA,1997,19.848837,21.220581,12.288739,10.102502
10,13,GA,1998,19.922756,21.285564,12.311347,10.169077
10,13,GA,1999,19.794338,21.166925,12.066069,10.210715
10,13,GA,2000,19.530054,21.354,12.060521,10.26754
10,13,GA,2001,19.819035,21.530115,12.367332,10.298633
10,13,GA,2002,19.735874,21.535213,12.466766,10.310418
10,13,GA,2003,19.627619,21.536612,12.554583,10.332799
10,13,GA,2004,19.676718,21.550453,12.575503,10.369389
10,13,GA,2005,19.695616,21.599161,12.595937,10.411599
10,13,GA,2006,20.002462,21.669992,12.58675,10.451869
10,13,GA,2007,20.134956,21.720995,12.604026,10.475681
10,13,GA,2008,20.268236,21.786041,12.646773,10.466327
10,13,GA,2009,20.287714,21.76379,12.709469,10.434939
10,13,GA,2010,20.603231,21.788639,12.823235,10.449497
10,13,GA,2011,20.601292,21.783255,12.862595,10.510123
10,13,GA,2012,20.980589,21.694063,12.845302,10.522612
10,13,GA,2013,21.102234,21.664213,12.779842,10.530361
10,13,GA,2014,21.126118,21.726263,12.759191,10.586963
10,13,GA,2015,21.178465,21.766399,12.749341,10.634219
10,13,GA,2016,21.235415,21.814451,12.753167,10.660947
11,15,HI,1990,16.906553,19.523285,10.251924,10.018289
11,15,HI,1991,16.906553,19.558193,10.307952,10.05419
11,15,HI,1992,17.151279,19.577248,10.33514,10.108141
11,15,HI,1993,17.249498,19.656153,10.370894,10.131937
11,15,HI,1994,17.296751,19.665411,10.403323,10.142505
11,15,HI,1995,17.265497,19.697161,10.415652,10.157664
11,15,HI,1996,17.324066,19.564266,10.395375,10.152884
11,15,HI,1997,17.749294,19.676659,10.329833,10.178617
11,15,HI,1998,17.894741,19.678089,10.30872,10.200291
11,15,HI,1999,17.942644,19.590862,10.392834,10.239245
11,15,HI,2000,18.00872,19.65028,10.388503,10.293636
11,15,HI,2001,17.991266,19.641584,10.367536,10.324498
11,15,HI,2002,17.985798,19.66848,10.40617,10.356822
11,15,HI,2003,18.084509,19.725559,10.446393,10.393661
11,15,HI,2004,18.239998,19.801741,10.475625,10.451378
11,15,HI,2005,18.312012,19.828745,10.483829,10.508759
11,15,HI,2006,18.385208,19.947273,10.472686,10.565299
11,15,HI,2007,18.561644,20.035511,10.463389,10.613467
11,15,HI,2008,18.679625,20.131123,10.476415,10.649227
11,15,HI,2009,18.869461,20.218628,10.520563,10.635687
11,15,HI,2010,19.030285,20.155523,10.593053,10.642181
11,15,HI,2011,19.113398,20.07478,10.615039,10.679274
11,15,HI,2012,19.190193,20.071777,10.618469,10.709048
11,15,HI,2013,19.216026,20.078987,10.623617,10.714018
11,15,HI,2014,19.249466,20.086971,10.607475,10.763906
11,15,HI,2015,19.284182,20.165169,10.582637,10.808455
11,15,HI,2016,19.288698,20.217072,10.556177,10.837068
12,16,ID,1990,16.946648,18.919029,10.290754,9.6897993
12,16,ID,1991,17.122396,19.064112,10.350766,9.7116613
12,16,ID,1992,17.262318,19.096172,10.412081,9.7779245
12,16,ID,1993,17.423721,19.115826,10.463732,9.8356371
12,16,ID,1994,17.572048,19.162619,10.47937,9.8713779
12,16,ID,1995,17.616741,19.228493,10.500482,9.9160089
12,16,ID,1996,17.665005,19.275352,10.510368,9.9550362
12,16,ID,1997,17.69062,19.299334,10.523607,9.9760876
12,16,ID,1998,17.875208,19.361383,10.525461,10.02513
12,16,ID,1999,17.893188,19.446589,10.543682,10.069595
12,16,ID,2000,18.000664,19.498581,10.56754,10.130185
12,16,ID,2001,18.062519,19.594473,10.583929,10.155918
12,16,ID,2002,17.773621,19.706886,10.635687,10.173362
12,16,ID,2003,18.029222,19.631269,10.671371,10.190207
12,16,ID,2004,18.191408,19.639435,10.718498,10.247149
12,16,ID,2005,18.312807,19.672106,10.714951,10.283258
12,16,ID,2006,18.370731,19.706308,10.703335,10.352076
12,16,ID,2007,18.433693,19.739515,10.677708,10.390656
12,16,ID,2008,18.336033,19.829237,10.691217,10.393477
12,16,ID,2009,18.434814,19.843969,10.707841,10.346313
12,16,ID,2010,18.65909,19.724287,10.804685,10.371082
12,16,ID,2011,18.842119,19.664709,10.881832,10.418972
12,16,ID,2012,19.048313,19.622009,10.984954,10.467949
12,16,ID,2013,19.157076,19.698793,10.965384,10.495072
12,16,ID,2014,19.198772,19.738655,10.936263,10.539191
12,16,ID,2015,19.272053,19.809418,10.898626,10.589787
12,16,ID,2016,19.204296,19.852053,10.873205,10.607525
13,17,IL,1990,19.689598,21.181261,12.787512,9.9534674
13,17,IL,1991,19.716776,21.199934,12.824461,9.9642534
13,17,IL,1992,19.796167,21.182018,12.856737,10.031177
13,17,IL,1993,19.900694,21.191832,12.848171,10.056938
13,17,IL,1994,19.922089,21.23189,12.816615,10.100246
13,17,IL,1995,19.929415,21.281223,12.790777,10.151636
13,17,IL,1996,20.002953,21.3249,12.782422,10.206034
13,17,IL,1997,20.030119,21.374758,12.733171,10.254919
13,17,IL,1998,20.07967,21.434843,12.740215,10.308852
13,17,IL,1999,20.123465,21.50259,12.744149,10.344094
13,17,IL,2000,20.180336,21.568769,12.689035,10.41184
13,17,IL,2001,20.231853,21.622105,12.688116,10.443804
13,17,IL,2002,20.33251,21.677412,12.722446,10.453601
13,17,IL,2003,20.492325,21.616608,12.760481,10.468744
13,17,IL,2004,20.626055,21.606539,12.785382,10.504081
13,17,IL,2005,20.764265,21.611414,12.784925,10.540805
13,17,IL,2006,20.789738,21.593115,12.784064,10.60356
13,17,IL,2007,20.877605,21.66324,12.788095,10.655422
13,17,IL,2008,21.105116,21.762831,12.790183,10.676046
13,17,IL,2009,21.185314,21.808762,12.81589,10.623057
13,17,IL,2010,21.305233,21.958904,12.878828,10.647566
13,17,IL,2011,21.389811,21.929296,12.882361,10.695461
13,17,IL,2012,21.430231,21.995365,12.859998,10.737418
13,17,IL,2013,21.513247,22.124926,12.830414,10.760686
13,17,IL,2014,21.53546,22.123402,12.800802,10.809809
13,17,IL,2015,21.57955,22.141384,12.771151,10.852033
