fy,state_abbrev,fips,y,x1,x2,x3,x4,x5,MD,decade,state,region_compact,state_name,yfte,MDSREB,lnnetut,lnfte,lnperinc
1996,AZ,4,657900032,311500000,164271,10162501632,99708,4586940,0,2,AZ,2,ARIZONA,4004.9675,,19.55691,12.009273,11.510001
1997,AZ,4,694000000,363000000,164930,10424677376,108023,4736990,0,2,AZ,2,ARIZONA,4207.8457,,19.709913,12.013276,11.590099
1998,AZ,4,738000000,383000000,170930,11072453632,118058,4883342,0,2,AZ,2,ARIZONA,4317.5571,,19.763546,12.049009,11.678931
1999,AZ,4,795699968,402652608,176648,12237978624,124654,5023823,0,2,AZ,2,ARIZONA,4504.438,,19.813585,12.081914,11.733297
2000,AZ,4,868451008,426791616,180669,13333611520,135388,5160586,0,3,AZ,2,ARIZONA,4806.8623,,19.871807,12.104422,11.8159
2001,AZ,4,898588992,487266400,185330,13548788736,141345,5273477,0,3,AZ,2,ARIZONA,4848.5889,,20.004322,12.129893,11.858959
2002,AZ,4,937587200,505390496,192181,14420322304,146505,5396255,0,3,AZ,2,ARIZONA,4878.6675,,20.040842,12.166193,11.894814
2003,AZ,4,915348672,534708704,205553,14397924352,155175,5510364,0,3,AZ,2,ARIZONA,4453.103,,20.097233,12.233459,11.952309
2004,AZ,4,922181696,640741696,212980,16481173504,169639,5652404,0,3,AZ,2,ARIZONA,4329.8979,,20.278137,12.268953,12.041428
2005,AZ,4,987367616,715416832,218212,18331117568,188137,5839077,0,3,AZ,2,ARIZONA,4524.8091,,20.388376,12.293222,12.144926
2006,AZ,4,1073220608,798166272,227283,19940354048,209127,6029141,0,3,AZ,2,ARIZONA,4721.957,,20.497828,12.333951,12.250697
2007,AZ,4,1196750336,884583872,229558,23334612992,220736,6167681,0,3,AZ,2,ARIZONA,5213.2808,,20.600628,12.343911,12.304723
2008,AZ,4,1325906432,953206528,233255,22992377856,223346,6280362,0,3,AZ,2,ARIZONA,5684.3643,,20.675343,12.359887,12.316478
2009,AZ,4,1308325504,1081378048,245680,20645410816,211975,6343154,0,3,AZ,2,ARIZONA,5325.3237,,20.801502,12.411785,12.264224
2010,AZ,4,1160505984,1227840640,259953,19633649664,215524,6407774,0,4,AZ,2,ARIZONA,4464.2915,,20.928522,12.468256,12.280828
2011,AZ,4,1102212736,1354359424,275071,21655498752,226365,6473497,0,4,AZ,2,ARIZONA,4007.0117,,21.026594,12.524784,12.329904
2012,AZ,4,839490816,1518362496,275238,22192576512,236846,6556629,0,4,AZ,2,ARIZONA,3050.0542,,21.140898,12.525392,12.375165
2013,AZ,4,858892992,1624760576,270644,22656409600,242856,6634999,0,4,AZ,2,ARIZONA,3173.5156,,21.208626,12.508559,12.400224
2014,AZ,4,897579328,1759897216,270127,22511628288,257410,6733840,0,4,AZ,2,ARIZONA,3322.8049,,21.288521,12.506647,12.458426
2015,AZ,4,937489728,1970195968,274454,23761491968,271133,6833596,0,4,AZ,2,ARIZONA,3415.8354,,21.4014,12.522539,12.510365
2016,AZ,4,822244800,2170221056,279239,24743710720,282478,6945452,0,4,AZ,2,ARIZONA,2944.5916,,21.498095,12.539824,12.551356
2017,AZ,4,860387392,2328726528,286335,24471902208,299613,7048876,0,4,AZ,2,ARIZONA,3004.8279,,21.568588,12.564918,12.610247
2018,AZ,4,875132928,2396622592,290816,,317913,7171646,0,4,AZ,2,ARIZONA,3009.2324,,21.597326,12.580446,12.669533
1980,AR,5,156300000,34900000,53130,1495260032,17388,2288738,0,1,AR,1,ARKANSAS,2941.8408,0,17.367998,10.880497,9.7635355
1981,AR,5,164700000,40700000,55125,1551181056,19703,2293204,0,1,AR,1,ARKANSAS,2987.7551,0,17.521738,10.917358,9.888526
1982,AR,5,174100000,46100000,55883,1667788032,20702,2294254,0,1,AR,1,ARKANSAS,3115.4375,0,17.646324,10.931016,9.9379854
1983,AR,5,186500000,46600000,55935,1794086016,21935,2305766,0,1,AR,1,ARKANSAS,3334.2273,0,17.65711,10.931946,9.9958391
1984,AR,5,194000000,49300000,55831,2034033024,24458,2319767,0,1,AR,1,ARKANSAS,3474.772,0,17.713434,10.930084,10.104712
