endyear,opeid5_new,lneg,lnstatea,lntuition,lntotfteiarep,lnftfac,lnptfac
2010,1142,18.612999,18.214886,17.977066,9.6035309,6.1180973,5.9188938
2011,1142,18.74061,18.303185,18.031214,9.5348845,6.0730443,5.894403
2012,1142,18.786047,18.061432,18.255795,9.6056204,6.075346,5.8833222
2013,1142,18.80381,18.065746,18.231218,9.6645317,6.1003189,5.9322453
2004,1143,18.802351,18.658676,17.88847,9.7509775,6.5750756,5.894403
2006,1143,18.818092,18.659788,18.077785,9.7767334,6.5294189,5.9584246
2008,1143,19.149096,18.80942,18.169977,9.8435249,6.605298,5.9687076
2009,1143,19.185268,18.459812,18.260225,9.8252554,6.6463904,5.9026332
2010,1143,19.14459,18.495733,18.452343,9.8106041,6.6605749,5.7037826
2011,1143,19.259789,18.588614,18.507401,9.7422619,6.5889263,5.7557421
2012,1143,19.25108,18.228361,18.643093,9.7620392,6.5916739,5.8141303
2013,1143,19.307766,18.263388,18.706018,9.761117,6.5998707,5.7462034
2004,1144,18.716919,18.683758,17.579735,9.778264,6.403574,6.1675167
2006,1144,18.718174,18.643127,17.764545,9.7933378,6.3279366,6.2225761
2008,1144,18.977243,18.773573,17.881247,9.8660975,6.403574,6.3543701
2009,1144,19.009445,18.427034,17.96431,9.8389492,6.3508859,6.1246834
2010,1144,18.888716,18.505192,18.064919,9.7743464,6.338594,6.1224928
2011,1144,18.995638,18.588795,18.073362,9.754117,6.2245584,6.1136823
2012,1144,19.005465,18.310799,18.188274,9.7816019,6.2461066,6.2324481
2013,1144,19.028509,18.29635,18.203991,9.8059845,6.2728772,6.2878585
2004,1146,18.448084,18.515415,17.417738,9.5564089,6.2822666,5.8777356
2006,1146,18.481964,18.475231,17.406696,9.6028557,6.2324481,6.0567842
2008,1146,18.791128,18.59083,17.663927,9.6695986,6.3350544,6.1202974
2009,1146,18.781467,18.243198,17.707159,9.6729412,6.3456364,6.0185933
2010,1146,18.687258,18.303055,17.949783,9.6476269,6.2766433,5.9135032
2011,1146,18.771002,18.394585,17.94697,9.5905561,6.2166061,5.8888779
2012,1146,18.765841,18.137716,18.106239,9.5936279,6.182085,5.9738097
2013,1146,18.781809,18.160151,18.109474,9.6050138,6.1779442,5.9558372
2004,1147,18.802866,18.682615,17.694902,9.7667513,6.4907236,6.2878585
2006,1147,18.753914,18.668114,17.805418,9.7926121,6.4769726,6.2245584
2008,1147,19.040398,18.816727,17.726112,9.8526154,6.5750756,6.368187
2009,1147,19.026159,18.478939,17.861099,9.8564482,6.5652652,6.3835068
2010,1147,18.984447,18.549587,18.043449,9.7949553,6.4861608,6.1882639
2011,1147,18.999763,18.638485,17.85898,9.7909346,6.4661446,6.2065759
2012,1147,18.998606,18.375174,18.108999,9.8423033,6.4488893,6.1180973
2013,1147,19.021671,18.376717,18.11277,9.8518782,6.4661446,6.3099184
2004,1149,17.948647,18.00416,16.794722,8.8997307,5.6733232,5.267858
2006,1149,17.924829,18.016125,16.900173,8.8780794,5.676754,5.3844953
2008,1149,18.163748,18.130346,16.978781,8.8871002,5.659482,5.4026775
2009,1149,18.229284,17.78916,17.105555,8.8836403,5.6454468,5.4205351
