STU_ID,X1SEX,X1RACE,X1SES,X1SESQ5,X4ATPRLVLA,S3CLGPELL
10350,2,8,-0.5231,2,-7,-7
10351,1,8,0.1757,4,6,-7
10352,2,8,0.1491,4,-8,2
10353,2,8,-1.1012,1,-7,2
10354,1,8,-0.2903,3,-7,-7
10355,1,6,2.0667,5,4,2
10356,2,8,0.0374,3,-7,2
10357,1,8,0.2551,4,4,-8
10359,1,2,-0.3342,3,4,1
10360,1,2,-8,-8,4,1
10361,1,6,-0.4024,2,6,3
10362,2,8,-0.6665,2,-7,-7
10363,1,8,2.3852,5,6,1
10364,2,8,-0.1942,3,4,1
10365,1,8,1.3874,5,4,2
10366,2,6,-0.6411,2,-7,-8
10367,1,6,-0.3113,3,4,1
10368,1,-9,-8,-8,6,2
10369,1,8,0.2011,4,4,1
10372,1,8,2.4948,5,4,1
10373,1,8,0.5303,4,4,2
10374,1,8,-0.5983,2,-7,-7
10375,1,8,0.6088,5,6,2
10376,1,8,1.3761,5,4,2
10377,1,5,-0.601,2,-7,-7
10378,2,5,-0.8871,1,-7,-7
10379,2,8,1.0802,5,4,1
10380,1,3,-8,-8,4,1
10381,1,3,-0.8968,1,-8,-7
10383,1,8,1.0162,5,4,1
10384,2,3,-1.2098,1,-8,3
10385,1,8,1.1209,5,4,2
10386,2,6,1.3874,5,4,2
10387,2,5,0.1757,4,-8,2
10388,1,3,-0.5465,2,-8,-8
10389,2,2,1.1247,5,-8,1
10390,1,8,1.5402,5,3,2
10391,1,3,-0.8371,1,-7,-8
10392,2,6,1.0439,5,4,2
10393,2,8,1.6071,5,4,1
10394,1,8,1.0698,5,-8,2
10395,2,8,0.0131,3,-7,2
10396,2,8,0.5109,4,4,-4
10397,1,3,0.9828,5,-8,-4
10398,1,2,0.0147,3,4,2
10399,2,8,-0.0227,3,4,1
10400,1,6,0.7403,5,4,-8
10401,2,5,-0.324,3,-7,-7
10402,1,3,0.8577,5,2,2
10403,1,8,-0.4522,2,-8,3
10404,1,8,0.9735,5,4,2
10405,1,6,-0.0993,3,-8,-8
10406,2,6,0.3213,4,-7,-7
10408,1,8,-0.3594,2,-7,-7
10409,1,8,1.3204,5,4,2
10410,2,5,0.0153,3,-7,-7
10411,2,2,1.0151,5,4,1
10412,1,3,-0.7606,1,-7,-7
10413,2,4,-8,-8,-8,-8
10414,2,8,0.3765,4,-8,-9
10415,2,8,-0.5439,2,-7,-7
10416,2,4,-0.4455,2,-7,-7
10417,1,8,1.2036,5,4,3
10418,1,5,-0.1342,3,-8,-8
10419,2,8,0.9661,5,4,2
10421,2,3,-0.5656,2,3,-8
10422,1,3,0.2344,4,6,-8
10423,1,6,0.7237,5,6,2
10424,1,8,-0.6931,2,-8,-7
10425,1,8,0.3094,4,4,2
10426,1,3,-0.0306,3,-9,-7
10427,1,2,-8,-8,4,1
