academicyr,unitid,cc2010,grantlow
2010,173142,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,219949,19. Master's M: Master's Colleges and Universities (medium programs),
2010,199069,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,154022,18. Master's L: Master's Colleges and Universities (larger programs),
2010,153834,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,150604,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,150668,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,183910,19. Master's M: Master's Colleges and Universities (medium programs),
2010,420307,20. Master's S: Master's Colleges and Universities (smaller programs),
2010,213826,18. Master's L: Master's Colleges and Universities (larger programs),
2010,217059,20. Master's S: Master's Colleges and Universities (smaller programs),
2010,173328,18. Master's L: Master's Colleges and Universities (larger programs),
2010,151166,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,151263,18. Master's L: Master's Colleges and Universities (larger programs),
2010,174279,20. Master's S: Master's Colleges and Universities (smaller programs),
2010,151519,20. Master's S: Master's Colleges and Universities (smaller programs),
2010,165015,15. RU/VH: Research Universities (very high research activity),
2010,151777,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,235769,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,164216,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,118888,19. Master's M: Master's Colleges and Universities (medium programs),
2010,232043,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,165662,18. Master's L: Master's Colleges and Universities (larger programs),
2010,141185,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,198561,18. Master's L: Master's Colleges and Universities (larger programs),
2010,152099,19. Master's M: Master's Colleges and Universities (medium programs),
2010,165802,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,217633,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,212197,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,198695,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,168786,19. Master's M: Master's Colleges and Universities (medium programs),
2010,179043,18. Master's L: Master's Colleges and Universities (larger programs),
2010,229160,18. Master's L: Master's Colleges and Universities (larger programs),
2010,179867,15. RU/VH: Research Universities (very high research activity),
2010,206437,19. Master's M: Master's Colleges and Universities (medium programs),
2010,160904,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,202611,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,152992,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,191649,17. DRU: Doctoral/Research Universities,
2010,130697,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,179964,18. Master's L: Master's Colleges and Universities (larger programs),
2010,150756,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,232609,20. Master's S: Master's Colleges and Universities (smaller programs),
2010,215929,18. Master's L: Master's Colleges and Universities (larger programs),
2010,157793,19. Master's M: Master's Colleges and Universities (medium programs),
2010,153278,20. Master's S: Master's Colleges and Universities (smaller programs),
2010,154688,18. Master's L: Master's Colleges and Universities (larger programs),
2010,443997,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,219578,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,153621,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,166124,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,132842,19. Master's M: Master's Colleges and Universities (medium programs),
2010,219213,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,183345,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,120865,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,386472,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,153861,18. Master's L: Master's Colleges and Universities (larger programs),
2010,217998,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,207324,19. Master's M: Master's Colleges and Universities (medium programs),
2010,180106,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
