State,fy,state_abbrev,fips,lnnetut,lnstateap,lnfte,lnperinc
CONNECTICUT,1992,CT,9,18.877472,20.004391,11.048554,11.453908
CONNECTICUT,1993,CT,9,19.027725,19.854813,11.045446,11.486048
CONNECTICUT,1994,CT,9,19.0599,19.994078,11.017219,11.514005
CONNECTICUT,1995,CT,9,19.065687,20.002131,10.99055,11.567821
CONNECTICUT,1996,CT,9,19.140471,20.058512,10.960722,11.614995
CONNECTICUT,1997,CT,9,19.181953,20.086121,10.944806,11.678372
CONNECTICUT,1998,CT,9,19.192177,20.153399,10.92822,11.754521
CONNECTICUT,1999,CT,9,19.238256,20.220739,10.944841,11.808687
CONNECTICUT,2000,CT,9,19.28618,20.359205,10.983341,11.898561
CONNECTICUT,2001,CT,9,19.326958,20.374836,11.018235,11.952747
CONNECTICUT,2002,CT,9,19.407454,20.44002,11.069493,11.953424
CONNECTICUT,2003,CT,9,19.563496,20.441357,11.128175,11.968317
CONNECTICUT,2004,CT,9,19.739367,20.432562,11.156679,12.02132
CONNECTICUT,2005,CT,9,19.850292,20.484966,11.188275,12.075229
CONNECTICUT,2006,CT,9,19.93856,20.539017,11.206509,12.153462
CONNECTICUT,2007,CT,9,19.980732,20.644171,11.22459,12.226316
CONNECTICUT,2008,CT,9,20.035606,20.757166,11.252703,12.28703
CONNECTICUT,2009,CT,9,20.118114,20.767584,11.295179,12.271916
CONNECTICUT,2010,CT,9,20.18325,20.816711,11.350795,12.31145
CONNECTICUT,2011,CT,9,20.148819,20.796638,11.365365,12.341167
CONNECTICUT,2012,CT,9,20.366423,20.671915,11.35841,12.360244
CONNECTICUT,2013,CT,9,20.411167,20.603786,11.382931,12.339165
CONNECTICUT,2014,CT,9,20.552246,20.749086,11.392801,12.384214
CONNECTICUT,2015,CT,9,20.609705,20.837523,11.378284,12.40894
CONNECTICUT,2016,CT,9,20.720362,20.92071,11.358666,12.427539
CONNECTICUT,2017,CT,9,20.774504,20.864813,11.412044,12.461021
CONNECTICUT,2018,CT,9,20.807207,20.816454,11.362196,12.517784
DELAWARE,1980,DE,10,17.186249,17.749294,9.9361486,8.7688856
DELAWARE,1981,DE,10,17.268667,17.889652,9.9642534,8.8670044
DELAWARE,1982,DE,10,17.415558,18.062576,9.9906282,8.9403677
DELAWARE,1983,DE,10,17.574383,18.12899,9.9810505,9.003562
DELAWARE,1984,DE,10,17.695011,18.140966,9.9896193,9.1019754
DELAWARE,1985,DE,10,17.747335,18.246326,9.9917269,9.1833801
DELAWARE,1986,DE,10,17.858562,18.310865,9.9519444,9.2454176
DELAWARE,1987,DE,10,17.950678,18.381941,9.9698372,9.3231335
DELAWARE,1988,DE,10,18.093565,18.422678,9.9915895,9.4137707
DELAWARE,1989,DE,10,18.222229,18.475168,10.006225,9.5201015
DELAWARE,1990,DE,10,18.35133,18.549953,10.112816,9.5726891
DELAWARE,1991,DE,10,18.457977,18.565647,10.166351,9.628787
DELAWARE,1992,DE,10,18.6005,18.594633,10.15995,9.6711769
DELAWARE,1993,DE,10,18.712605,18.60799,10.190507,9.7091141
DELAWARE,1994,DE,10,18.756439,18.603003,10.185466,9.7506275
DELAWARE,1995,DE,10,18.861513,18.635792,10.186483,9.8076372
DELAWARE,1996,DE,10,18.943039,18.731834,10.197239,9.8747797
DELAWARE,1997,DE,10,18.987131,18.880003,10.211891,9.9204426
DELAWARE,1998,DE,10,19.045549,18.805264,10.218335,10.021359
DELAWARE,1999,DE,10,19.054077,18.937687,10.297352,10.092868
DELAWARE,2000,DE,10,19.143871,18.976862,10.273671,10.19107
DELAWARE,2001,DE,10,19.190493,19.034243,10.273118,10.288818
DELAWARE,2002,DE,10,19.186613,19.038027,10.195224,10.32177
DELAWARE,2003,DE,10,19.301846,19.019875,10.342646,10.344802
DELAWARE,2004,DE,10,19.331623,19.069296,10.293704,10.385203
DELAWARE,2005,DE,10,19.385357,19.131069,10.326825,10.413403
DELAWARE,2006,DE,10,19.563122,19.192726,10.350383,10.470675
DELAWARE,2007,DE,10,19.634628,19.267519,10.350383,10.500702
DELAWARE,2008,DE,10,19.673059,19.303267,10.361513,10.491079
