fips,state_abbrev,state,fy,state_appropr,fte_enrollment,fed_relief
8,CO,COLORADO,1995,444000000,135279,
8,CO,COLORADO,1996,482300000,135335,
8,CO,COLORADO,1997,513700000,136086,
8,CO,COLORADO,1998,541100000,137682,
8,CO,COLORADO,1999,564200000,139730,
8,CO,COLORADO,2000,599990516,141727,
8,CO,COLORADO,2001,640763232,141492,0
8,CO,COLORADO,2002,644928314,147724,0
8,CO,COLORADO,2003,536176196,156258,0
8,CO,COLORADO,2004,520407125,161181,0
8,CO,COLORADO,2005,550896704,162711,0
8,CO,COLORADO,2006,587886517,158876,0
8,CO,COLORADO,2007,626567535,157382,0
8,CO,COLORADO,2008,690736053,164638,0
8,CO,COLORADO,2009,791038697,171564,150964055
8,CO,COLORADO,2010,826747266,187231,382008249
8,CO,COLORADO,2011,708487160,195621,89194099
8,CO,COLORADO,2012,592325387,192541,0
8,CO,COLORADO,2013,584189704,188405,0
8,CO,COLORADO,2014,626070298,184836,0
8,CO,COLORADO,2015,723882228,181867,0
8,CO,COLORADO,2016,801822043,180264,0
8,CO,COLORADO,2017,808586966,182212,0
8,CO,COLORADO,2018,837069999,183875,0
8,CO,COLORADO,2019,927281692,183744,0
8,CO,COLORADO,2020,1032900415,188864,0
8,CO,COLORADO,2021,1175819686,179676,546492140
8,CO,COLORADO,2022,1271610327,175533,103750000
8,CO,COLORADO,2023,1251543266,175969,0
8,CO,COLORADO,2024,1411530245,181532,0
9,CT,CONNECTICUT,1980,150100000,58909,
9,CT,CONNECTICUT,1981,168800000,60385,
9,CT,CONNECTICUT,1982,186900000,61391,
9,CT,CONNECTICUT,1983,207200000,62000,
9,CT,CONNECTICUT,1984,224500000,62048,
9,CT,CONNECTICUT,1985,245100000,60800,
9,CT,CONNECTICUT,1986,265800000,58563,
9,CT,CONNECTICUT,1987,301300000,57914,
9,CT,CONNECTICUT,1988,343500000,59160,
9,CT,CONNECTICUT,1989,388700000,61260,
9,CT,CONNECTICUT,1990,429800000,63374,
9,CT,CONNECTICUT,1991,443600000,63332,
9,CT,CONNECTICUT,1992,425900000,62853,
9,CT,CONNECTICUT,1993,348900000,62658,
9,CT,CONNECTICUT,1994,403100000,60914,
9,CT,CONNECTICUT,1995,402100000,59311,
9,CT,CONNECTICUT,1996,425300000,57568,
9,CT,CONNECTICUT,1997,433700000,56659,
9,CT,CONNECTICUT,1998,464000000,55727,
9,CT,CONNECTICUT,1999,495300000,56661,
9,CT,CONNECTICUT,2000,570491439,58885,
9,CT,CONNECTICUT,2001,728119450,60976,0
9,CT,CONNECTICUT,2002,775818357,64183,0
9,CT,CONNECTICUT,2003,775280943,68062,0
9,CT,CONNECTICUT,2004,767130594,70030,0
9,CT,CONNECTICUT,2005,808118592,72278,0
9,CT,CONNECTICUT,2006,852032917,73608,0
9,CT,CONNECTICUT,2007,946230128,74951,0
9,CT,CONNECTICUT,2008,1070841570,77088,0
9,CT,CONNECTICUT,2009,1081587490,80433,0
9,CT,CONNECTICUT,2010,1134269869,85033,33474626
9,CT,CONNECTICUT,2011,1113143409,86281,0
9,CT,CONNECTICUT,2012,982821895,85683,0
9,CT,CONNECTICUT,2013,915246552,87810,0
9,CT,CONNECTICUT,2014,1050278240,88681,0
9,CT,CONNECTICUT,2015,913645523,87403,0
9,CT,CONNECTICUT,2016,995449585,85705,0
9,CT,CONNECTICUT,2017,959695990,90404,0
9,CT,CONNECTICUT,2018,925304465,86008,0
9,CT,CONNECTICUT,2019,937939636,83793,0
9,CT,CONNECTICUT,2020,956250860,81422,0
9,CT,CONNECTICUT,2021,1071747520,73489,8881682
9,CT,CONNECTICUT,2022,1346974745,74344,129500000
9,CT,CONNECTICUT,2023,1629917596,73309,333500000
9,CT,CONNECTICUT,2024,1523016553,76077,280900000
10,DE,DELAWARE,1980,47700000,20664,
10,DE,DELAWARE,1981,55200000,21253,
10,DE,DELAWARE,1982,65900000,21821,
10,DE,DELAWARE,1983,70300000,21613,
10,DE,DELAWARE,1984,70900000,21799,
10,DE,DELAWARE,1985,78800000,21845,
10,DE,DELAWARE,1986,86500000,20993,
10,DE,DELAWARE,1987,89200000,21372,
10,DE,DELAWARE,1988,92700000,21842,
10,DE,DELAWARE,1989,98000000,22164,
10,DE,DELAWARE,1990,105400000,24657,
10,DE,DELAWARE,1991,107000000,26013,
10,DE,DELAWARE,1992,110200000,25847,
10,DE,DELAWARE,1993,111600000,26649,
10,DE,DELAWARE,1994,111200000,26515,
10,DE,DELAWARE,1995,118800000,26542,
10,DE,DELAWARE,1996,134000000,26829,
10,DE,DELAWARE,1997,154800000,27225,
10,DE,DELAWARE,1998,143000000,27401,
10,DE,DELAWARE,1999,160800000,29654,
10,DE,DELAWARE,2000,166850400,28960,
10,DE,DELAWARE,2001,184700000,28944,0
10,DE,DELAWARE,2002,185400000,26775,0
10,DE,DELAWARE,2003,172991541,31028,0
